Index,Company,City,Country,country_label,company_len,email_domain,phone_digits,sub_year,sub_month,sub_days_since
1,Mosley-David,Lake Jeffborough,Norway,162,12,espinoza-francis.net,20,2020,8,2114
2,"Horn, Shepard and Watson",Aaronville,Andorra,4,24,hall-donovan.com,24,2020,4,2235
3,Irwin-Oneal,East Jordan,Nepal,151,11,blevins-sexton.com,20,2022,3,1541
4,Richardson Group,East Kristintown,Northern Mariana Islands,161,16,anthony.com,23,2020,7,2169
5,Carson-Burch,Andresmouth,Macao,126,12,rangel-shields.com,30,2021,1,1970
6,Maddox Group,Lake Madelineburgh,Senegal,192,12,chang.org,26,2021,8,1762
7,"Bender, Pittman and Kidd",West Ralph,Uzbekistan,234,24,morrison.com,25,2020,4,2253
8,Glenn-Harvey,Ambershire,Falkland Islands (Malvinas),68,12,howell.com,23,2021,4,1895
9,"Arroyo, Cain and Hudson",Barrettview,Zimbabwe,242,23,hurst-graham.net,25,2020,11,2022
10,"Schaefer, Blair and Shaffer",New Rickey,Ukraine,227,27,stone-oneill.com,27,2021,6,1807
11,Lopez Inc,Lake Bobton,Mauritania,136,9,hatfield.info,23,2021,5,1865
12,"Dudley, Coleman and Green",Orrland,Gambia,77,25,rose.net,28,2021,4,1890
13,Harrell-Donovan,South Elizabeth,Sweden,209,15,chung.com,24,2020,2,2294
14,"Schaefer, Chung and Lin",Pamelatown,Netherlands,152,23,hooper.org,34,2022,3,1560
15,"Mack, Garcia and Schaefer",Lake Seth,Dominican Republic,60,25,hardin.net,31,2021,3,1898
16,Downs PLC,Mannstad,Belize,21,9,gaines.biz,26,2020,8,2131
17,"Castro, Haney and Hanna",East Diamond,Cook Islands,50,23,brady-chen.com,28,2021,5,1846
18,Tyler-Levine,New Gwendolyn,Saint Kitts and Nevis,183,12,mullen.org,28,2021,6,1834
19,Liu-Douglas,Martinezstad,French Southern Territories,75,11,marks.com,24,2021,4,1880
20,Hicks-Duran,Port Adrianport,Singapore,196,11,booker.com,28,2020,12,1988
21,"Weiss, King and Morrison",Wallston,Congo,49,24,faulkner.com,23,2020,1,2352
22,Becker-Woodard,Port Martha,Zimbabwe,242,14,spence.com,31,2021,6,1809
23,Zavala-Garcia,East Johnnystad,Tonga,219,13,price.net,29,2020,5,2213
24,Munoz and Sons,Lake Isaiahview,Costa Rica,51,14,hays-rivera.com,26,2020,1,2330
25,Morton Ltd,West Guy,Oman,163,10,briggs.com,30,2020,9,2104
26,Hart-Klein,New Maxhaven,Saint Helena,182,10,haney.org,26,2020,3,2287
27,Todd-Acosta,Lake Sallyport,Cameroon,37,11,jarvis.com,20,2021,6,1819
28,"Lamb, Little and Frazier",Campbellshire,Tonga,219,24,cameron.com,30,2020,11,2033
29,Cooper Ltd,Marilyntown,Panama,167,10,huynh.com,20,2021,3,1927
30,Hodge-Potts,Port Dariushaven,Guinea,89,11,simpson-christensen.com,24,2021,9,1742
31,Gray-Collier,Carolinetown,Micronesia,140,12,hernandez.biz,25,2020,7,2165
32,"Serrano, Carr and Hurst",West Bernardbury,Niger,157,23,fuentes.org,27,2020,7,2156
33,Stafford-Shannon,New Ross,Bosnia and Herzegovina,26,16,little.com,20,2022,1,1620
34,Griffin-Ware,Lake Caitlynville,Bouvet Island (Bouvetoya),28,12,hardin.com,28,2021,3,1919
35,Daniel and Sons,Cardenasport,Svalbard & Jan Mayen Islands,207,15,kane-pennington.com,23,2022,5,1499
36,Barron Group,West Makaylaton,Seychelles,194,12,simpson.com,29,2021,3,1911
37,Fuentes LLC,West Tamara,Cote d'Ivoire,52,11,hill-beard.com,30,2021,1,1975
38,Watkins-Romero,Kerryburgh,Netherlands,152,14,whitehead.info,31,2020,1,2339
39,Randolph LLC,Nataliestad,Korea,114,12,wyatt.com,21,2020,10,2050
40,Pearson PLC,New Petershire,Japan,108,11,fischer.biz,25,2020,3,2291
41,Guerra LLC,Meyerbury,French Southern Territories,75,10,hernandez.org,26,2021,6,1825
42,Robles and Sons,Cathyview,United States Minor Outlying Islands,230,15,hickman.com,33,2022,2,1579
43,Delacruz-Rosario,West Marthaview,Bouvet Island (Bouvetoya),28,16,lambert-irwin.com,25,2020,2,2309
44,Barrera Group,South Brandi,Guinea,89,13,howe.info,30,2020,5,2222
45,Beasley-Perez,Port Rickeyport,Isle of Man,104,13,owen-humphrey.info,29,2021,1,1983
46,Herrera and Sons,Hendricksfort,Indonesia,100,16,conner-weiss.info,27,2020,9,2085
47,Cline Inc,Serranoland,San Marino,189,9,perry.com,20,2022,4,1515
48,"Riggs, Pena and Hubbard",New Virginiamouth,Guyana,91,23,bush.net,31,2021,12,1628
49,Harrell Ltd,West Craig,Sudan,205,11,romero.biz,24,2020,6,2178
50,Harrell-Frank,West Nicolas,Thailand,215,13,graham-winters.com,23,2021,10,1708
51,Lawrence-Robles,Paigeland,Guernsey,88,15,cooper-montes.biz,23,2021,10,1693
52,"Oconnor, Glover and Park",Lake Joshua,Isle of Man,104,24,delacruz-edwards.com,26,2020,1,2327
53,Finley Group,East Kaitlynfort,Micronesia,140,12,hampton.com,23,2020,1,2331
54,"Love, Farmer and Reid",Perezburgh,Malaysia,130,21,lynn-gill.biz,28,2021,8,1756
55,Gamble Group,South Jeremiahberg,Nauru,150,12,villanueva.com,32,2022,5,1490
56,Beard Group,Salinasmouth,Solomon Islands,199,11,davidson.com,27,2022,4,1511
57,Howard Ltd,Dorseyfurt,Egypt,62,10,romero.net,26,2020,11,2036
58,Adkins-Dixon,Hoodchester,Tokelau,218,12,olsen.com,24,2020,10,2068
59,Pearson-Choi,Masseyhaven,Palestinian Territory,166,12,charles-estrada.com,20,2021,9,1714
60,"Mayer, Taylor and Boyer",New Dianeborough,Bulgaria,33,23,cantu.com,25,2021,6,1810
61,Bennett and Sons,Mikestad,Aruba,11,16,friedman-bradley.com,28,2021,10,1692
62,"Rich, Edwards and Miranda",Lukemouth,Indonesia,100,25,vance-weeks.com,29,2022,3,1560
63,Vazquez-Orr,West Jim,Libyan Arab Jamahiriya,122,11,pennington.com,20,2020,9,2107
64,Hayden-Villanueva,East Deborah,Turks and Caicos Islands,224,17,blevins-payne.com,24,2020,3,2283
65,"Roy, Myers and Fox",East Nicolechester,Nepal,151,18,hartman-cooper.org,23,2021,3,1913
66,"Chambers, Nielsen and David",Noblefort,Bulgaria,33,27,richardson.com,29,2021,10,1709
67,"Black, Richardson and Sandoval",Lake Aaron,Mongolia,143,30,walsh-holmes.org,25,2021,12,1648
68,Benjamin LLC,North Elizabeth,Grenada,84,12,blankenship-ford.com,20,2021,9,1718
69,Walton-Carter,Johnchester,Ireland,103,13,duke-mcmahon.com,30,2020,12,2013
70,Pope-Mcpherson,New Sarah,Papua New Guinea,168,14,hoffman-meadows.com,20,2020,3,2278
71,"Stark, Deleon and Mann",West Erikview,Netherlands,152,22,cruz.net,28,2020,12,1998
72,Bruce LLC,Port Spencer,Congo,49,9,glenn.com,20,2021,6,1814
73,Hughes Ltd,West Tanner,Korea,114,10,cobb.net,23,2020,1,2341
74,"Cochran, Sweeney and Miles",Damonborough,Cote d'Ivoire,52,26,rosario.com,27,2022,1,1613
75,"Webb, Bauer and Mcknight",Port Charlene,Tuvalu,225,24,russell.com,32,2020,7,2150
